host_name,host_aliases,host_apps,sources,last_reported_time,host_status,tags,ipaddress
aanvjkinsdev1,"['ip-10-91-8-129.bain.com', 'i-0c9f8f75bb0995399', 'aanvjkinsdev1']","['agent', 'aws']","['aws', 'agent']",1632488223,True,"{'Datadog': ['host:aanvjkinsdev1'], 'Amazon Web Services': ['account:bainaag', 'application:jkinsdev', 'availability-zone:us-east-1a', 'aws_account:182581879643', 'aws_cloudformation_logical-id:ec2instance', 'aws_cloudformation_stack-id:arn:aws:cloudformation:us-east-1:182581879643:stack/jenkins-dev-ubuntu/3bd9b740-a554-11e8-8ddf-500c28604c82', 'aws_cloudformation_stack-name:jenkins-dev-ubuntu', 'backupretention:7', 'casecode:adc3', 'cloud_provider:aws', 'department:aag', 'iam_profile:aanvjkinsdev1', 'image:ami-79001606', 'instance-type:m5.xlarge', 'kernel:none', 'name:aanvjkinsdev1', 'owner:01edf', 'region:us-east-1', 'security-group:sg-0e0a7e37e2b9ce6f9', 'security-group:sg-74a0ee02', 'tier:development']}",10.91.8.129
ignite.qa,"['ip-10-192-2-74.eu-central-1.compute.internal', 'ignite.qa', 'i-0fc676951dab9acc9']","['ntp', 'docker', 'agent', 'trace']",['agent'],1632488051,True,{'Datadog': ['host:ignite.qa']},10.192.2.74
i-07e193e4abd997a96,"['ip-10-91-24-99.bain.com', 'i-07e193e4abd997a96']","['docker', 'agent', 'aws', 'ntp']","['aws', 'agent']",1632489580,True,"{'Datadog': ['tier:staging_application:pricing_department:tsg_owner:tsgenterpriseinfra_casecode:y8bk', 'host:i-07e193e4abd997a96'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20200921200943687900000006', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-staging-client20200921200933993500000004', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-staging-client', 'nomad-pricing-staging-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-0e16b9325c92626bb', 'tier:staging']}",
zteuddtag1,"['zteuddtag1', '54b51494-3122-440e-b9db-5d3ad67e22d0']","['agent', 'azure']","['azure', 'agent']",1632489636,True,"{'Azure': ['availability-zone:eastus2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'department:tsg', 'name:zteuddtag1', 'operating_system:linux', 'owner:tsgcloudops', 'region:eastus2', 'resource_group:tsg-primary-prod-resources', 'size:standard_ds1_v2', 'subscription_id:64d4b08c-d5dd-4f58-8a6f-b89defac56bd', 'subscription_name:tsg-primary', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production'], 'Datadog': ['host:zteuddtag1']}",10.193.41.95
aks-akslxpool-19034310-vmss000001,"['aks-akslxpool-19034310-vmss000001-mendix-prod-aks', 'aks-akslxpool-19034310-vmss000001', '24df1618-757c-4b2b-9a83-44eea8793b55']","['agent', 'coredns', 'docker', 'kubernetes', 'kubernetes_state', 'ntp', 'azure']","['azure', 'agent']",1632488695,True,"{'Azure': ['aksapiserveripaddress:10.216.34.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:45', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'createoperationid:0c10b1f6-f647-47a5-82bd-30ee7fb234f1', 'creationsource:vmssclient-aks-akslxpool-19034310-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-19034310-vmss_1', 'operating_system:linux', 'orchestrator:kubernetes:1.18.17', 'owner:tsgplatforminfra', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-prod-aks', 'resourcenamesuffix:19034310', 'size:standard_ds2_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production'], 'Datadog': ['cluster_name:mendix-prod-aks', 'kube_cluster_name:mendix-prod-aks', 'kube_node_role:agent', 'host:aks-akslxpool-19034310-vmss000001']}",
saofile01v,['saofile01v'],"['agent', 'vsphere']","['vsphere', 'agent']",1632487447,True,"{'Datadog': ['host:saofile01v'], 'vSphere': ['department:tsg', 'location:sao', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:sao', 'vsphere_datacenter:local_office', 'vsphere_folder:datacenters', 'vsphere_folder:sao', 'vsphere_folder:vm', 'vsphere_folder:vms', 'vsphere_host:saoesxi03.bain.com', 'vsphere_type:vm']}",10.144.4.91
i-0a3d4c9fdff880431,"['ip-10-91-24-84.bain.com', 'i-0a3d4c9fdff880431']","['aws', 'ntp', 'docker', 'agent']","['aws', 'agent']",1632489218,True,"{'Datadog': ['host:i-0a3d4c9fdff880431'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20200914232623076000000002', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-prod-client20200914215203813400000004', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-prod-client', 'nomad-pricing-prod-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-0531db8aed52e6b9b', 'tier:production']}",10.91.24.84
ignite.prod,"['ip-10-192-2-92.eu-central-1.compute.internal', 'ignite.prod', 'i-0cf8dd14565a72bfe']","['ntp', 'docker', 'agent', 'trace']",['agent'],1632489627,True,{'Datadog': ['host:ignite.prod']},10.192.2.92
i-0bdf99084c2371ad4,"['ip-10-91-24-4.bain.com', 'i-0bdf99084c2371ad4']","['ntp', 'agent', 'docker', 'aws']","['aws', 'agent']",1632489514,True,"{'Datadog': ['tier:dev_application:pricing_department:tsg_owner:tsgenterpriseinfra_casecode:y8bk', 'host:i-0bdf99084c2371ad4'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20210409144952615800000005', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-dev-client20210409144943789400000003', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-dev-client', 'nomad-pricing-dev-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-04ca41e5a7c8b1a84', 'tier:dev']}",10.91.24.4
wtrutil3v,['wtrutil3v'],"['vsphere', 'agent']","['vsphere', 'agent']",1632488678,True,"{'Datadog': ['host:wtrutil3v'], 'vSphere': ['backup_policy:devqa_7days', 'department:tsg', 'location:wtr', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:wtr_prod_a', 'vsphere_datacenter:watertown', 'vsphere_folder:datacenters', 'vsphere_folder:vm', 'vsphere_folder:wtr_-_new_servers', 'vsphere_host:wtresxi08.bain.com', 'vsphere_type:vm'], 'Users': ['application:_alpha']}",10.28.10.30
